Mercado,Produto,Preço Varejo (R$),ICMS (%),ICMS (R$),PIS (%),PIS (R$),COFINS (%),COFINS (R$),IPI (%),IPI (R$),Total Tributos (R$),Preço Líquido (R$)
REIS,Sabão em barra minuano,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.54,6.46
REIS,Sabão em pó omo 800g,14.0,19.00%,2.66,1.650%,0.23,7.60%,1.06,5.00%,0.7,4.66,9.34
REIS,Sabão em pó minuano,10.0,19.00%,1.9,1.650%,0.17,7.60%,0.76,5.00%,0.5,3.33,6.67
REIS,Sabão em pó tixan,3.0,19.00%,0.57,1.650%,0.05,7.60%,0.23,5.00%,0.15,1.0,2.0
REIS,Sabão em pó brilhante,14.0,19.00%,2.66,1.650%,0.23,7.60%,1.06,5.00%,0.7,4.66,9.34
REIS,Amaciante Ypê 2L,11.0,19.00%,2.09,1.650%,0.18,7.60%,0.84,5.00%,0.55,3.66,7.34
REIS,Amaciante sense,8.0,19.00%,1.52,1.650%,0.13,7.60%,0.61,5.00%,0.4,2.66,5.34
REIS,Amaciante mon bijou,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,5.00%,0.45,2.99,6.01
REIS,Maionese quero sachê 200g,5.0,19.00%,0.95,1.650%,0.08,7.60%,0.38,0.00%,0.0,1.41,3.59
REIS,Maionese Hellmann's,9.0,19.00%,1.71,1.650%,0.15,7.60%,0.68,0.00%,0.0,2.54,6.46
REIS,Maionese fugini,3.0,19.00%,0.57,1.650%,0.05,7.60%,0.23,0.00%,0.0,0.85,2.15
REIS,Acem,28.0,7.00%,1.96,1.650%,0.46,7.60%,2.13,0.00%,0.0,4.55,23.45
REIS,Alcatra,45.0,7.00%,3.15,1.650%,0.74,7.60%,3.42,0.00%,0.0,7.31,37.69
REIS,Cupim,39.0,7.00%,2.73,1.650%,0.64,7.60%,2.96,0.00%,0.0,6.34,32.66
REIS,Patinho,38.0,7.00%,2.66,1.650%,0.63,7.60%,2.89,0.00%,0.0,6.17,31.82
REIS,Costela,23.0,7.00%,1.61,1.650%,0.38,7.60%,1.75,0.00%,0.0,3.74,19.26
REIS,Barriguinha,18.0,7.00%,1.26,1.650%,0.3,7.60%,1.37,0.00%,0.0,2.93,15.07
REIS,Bisteca,29.0,7.00%,2.03,1.650%,0.48,7.60%,2.2,0.00%,0.0,4.71,24.29
REIS,Lombo,26.0,7.00%,1.82,1.650%,0.43,7.60%,1.98,0.00%,0.0,4.23,21.77
REIS,Costelinha,25.0,7.00%,1.75,1.650%,0.41,7.60%,1.9,0.00%,0.0,4.06,20.94
REIS,Pernil,16.0,7.00%,1.12,1.650%,0.26,7.60%,1.22,0.00%,0.0,2.6,13.4
REIS,Asinha,16.0,7.00%,1.12,1.650%,0.26,7.60%,1.22,0.00%,0.0,2.6,13.4
REIS,Coxinha,19.0,7.00%,1.33,1.650%,0.31,7.60%,1.44,0.00%,0.0,3.09,15.91
REIS,Coxa sobrecoxa,15.0,7.00%,1.05,1.650%,0.25,7.60%,1.14,0.00%,0.0,2.44,12.56
REIS,Filé de peito,25.0,7.00%,1.75,1.650%,0.41,7.60%,1.9,0.00%,0.0,4.06,20.94
REIS,Frango,10.0,7.00%,0.7,1.650%,0.17,7.60%,0.76,0.00%,0.0,1.62,8.38
REIS,Açucar cristal,25.0,7.00%,1.75,1.650%,0.41,7.60%,1.9,0.00%,0.0,4.06,20.94
REIS,Açucar Vasconcelos,21.0,7.00%,1.47,1.650%,0.35,7.60%,1.6,0.00%,0.0,3.41,17.59
REIS,Açucar ecoaçucar,20.0,7.00%,1.4,1.650%,0.33,7.60%,1.52,0.00%,0.0,3.25,16.75
REIS,Cerveja amstel,2.0,21.00%,0.42,1.650%,0.03,7.60%,0.15,15.00%,0.3,0.91,1.09
REIS,Cerveja Heineken,4.0,21.00%,0.84,1.650%,0.07,7.60%,0.3,15.00%,0.6,1.81,2.19
REIS,Cerveja Skol,3.0,21.00%,0.63,1.650%,0.05,7.60%,0.23,15.00%,0.45,1.36,1.64
REIS,Cerveja Brahma,3.0,21.00%,0.63,1.650%,0.05,7.60%,0.23,15.00%,0.45,1.36,1.64
